  3.8696662e+002  2.9069767e-003
  4.0879536e+002  5.8139535e-003
  4.2412192e+002  1.1627907e-002
  4.3851959e+002  2.6162791e-002
  4.4873730e+002  3.7790698e-002
  4.5988389e+002  6.3953488e-002
  4.6870827e+002  8.7209302e-002
  4.7706821e+002  1.2209302e-001
  4.8217707e+002  1.5406977e-001
  4.8914369e+002  2.0058140e-001
  4.9518142e+002  2.6162791e-001
  4.9982583e+002  3.1976744e-001
  5.0447025e+002  3.9534884e-001
  5.0818578e+002  4.5930233e-001
  5.1143687e+002  5.3488372e-001
  5.1515239e+002  6.1337209e-001
  5.1886792e+002  6.8604651e-001
  5.2258345e+002  7.5000000e-001
  5.2583454e+002  8.0813953e-001
  5.3094340e+002  8.7209302e-001
  5.3558781e+002  9.1569767e-001
  5.3976778e+002  9.5639535e-001
  5.4534107e+002  9.8255814e-001
  5.5044993e+002  9.9709302e-001
  5.5602322e+002  1.0000000e+000
  5.6113208e+002  9.9418605e-001
  5.6624093e+002  9.7674419e-001
  5.7088534e+002  9.4767442e-001
  5.7460087e+002  9.1860465e-001
  5.7878084e+002  8.8372093e-001
  5.8296081e+002  8.4302326e-001
  5.8714078e+002  7.9360465e-001
  5.9224964e+002  7.2965116e-001
  5.9875181e+002  6.5116279e-001
  6.0386067e+002  5.8430233e-001
  6.0757620e+002  5.3488372e-001
  6.1407837e+002  4.5639535e-001
  6.1918723e+002  3.9244186e-001
  6.2383164e+002  3.3720930e-001
  6.2847605e+002  2.8779070e-001
  6.3358491e+002  2.2965116e-001
  6.3962264e+002  1.8023256e-001
  6.4380261e+002  1.4825581e-001
  6.5123367e+002  1.0174419e-001
  6.5959361e+002  6.9767442e-002
  6.6609579e+002  4.3604651e-002
  6.7306241e+002  2.9069767e-002
  6.8049347e+002  2.0348837e-002
  6.8885341e+002  1.4534884e-002
  6.9442671e+002  1.1627907e-002
  6.9860668e+002  8.7209302e-003
