350	55.14
351	54.93
352	54.65
353	54.2
354	53.92
355	53.59
356	53.28
357	52.82
358	52.36
359	51.93
360	51.46
361	50.94
362	50.4
363	49.9
364	49.32
365	48.76
366	48.26
367	47.72
368	47.1
369	46.48
370	45.79
371	45.24
372	44.72
373	44.11
374	43.55
375	42.86
376	42.13
377	41.6
378	41.04
379	40.39
380	39.78
381	39.16
382	38.64
383	38.02
384	37.46
385	36.94
386	36.41
387	35.91
388	35.35
389	34.8
390	34.27
391	33.79
392	33.36
393	32.88
394	32.43
395	31.98
396	31.54
397	31.1
398	30.67
399	30.26
400	29.87
401	29.52
402	29.13
403	28.78
404	28.44
405	28.11
406	27.81
407	27.51
408	27.18
409	26.88
410	26.65
411	26.38
412	26.16
413	25.91
414	25.66
415	25.47
416	25.31
417	25.12
418	24.93
419	24.78
420	24.62
421	24.52
422	24.41
423	24.28
424	24.19
425	24.12
426	24.04
427	23.99
428	23.93
429	23.89
430	23.85
431	23.84
432	23.87
433	23.88
434	23.9
435	23.93
436	23.95
437	24.02
438	24.09
439	24.17
440	24.22
441	24.4
442	24.47
443	24.62
444	24.79
445	24.9
446	25.07
447	25.29
448	25.5
449	25.73
450	25.93
451	26.17
452	26.4
453	26.73
454	26.99
455	27.29
456	27.62
457	28.01
458	28.34
459	28.74
460	29.11
461	29.52
462	29.98
463	30.43
464	30.9
465	31.38
466	31.92
467	32.47
468	33.04
469	33.63
470	34.27
471	34.87
472	35.55
473	36.23
474	36.96
475	37.72
476	38.51
477	39.3
478	40.13
479	40.95
480	41.85
481	42.75
482	43.67
483	44.67
484	45.59
485	46.63
486	47.69
487	48.69
488	49.8
489	50.82
490	51.98
491	53.09
492	54.26
493	55.35
494	56.58
495	57.67
496	58.88
497	60.05
498	61.26
499	62.39
500	63.57
501	64.67
502	65.8
503	66.92
504	68.05
505	69.09
506	70.15
507	71.18
508	72.18
509	73.17
510	74.13
511	75.02
512	75.89
513	76.73
514	77.52
515	78.35
516	79.12
517	79.84
518	80.57
519	81.2
520	81.88
521	82.49
522	83.08
523	83.63
524	84.23
525	84.74
526	85.25
527	85.77
528	86.22
529	86.71
530	87.17
531	87.61
532	88.03
533	88.39
534	88.75
535	89.11
536	89.48
537	89.81
538	90.13
539	90.41
540	90.74
541	91.04
542	91.3
543	91.55
544	91.83
545	92.09
546	92.31
547	92.5
548	92.66
549	92.74
550	93.03
551	93.17
552	93.32
553	93.41
554	93.53
555	93.69
556	93.82
557	93.87
558	93.96
559	94.07
560	94.14
561	94.21
562	94.23
563	94.33
564	94.34
565	94.38
566	94.45
567	94.57
568	94.58
569	94.54
570	94.49
571	94.54
572	94.55
573	94.55
574	94.54
575	94.5
576	94.56
577	94.59
578	94.56
579	94.48
580	94.49
581	94.48
582	94.5
583	94.42
584	94.4
585	94.39
586	94.37
587	94.36
588	94.42
589	94.36
590	94.31
591	94.33
592	94.37
593	94.34
594	94.3
595	94.28
596	94.28
597	94.25
598	94.29
599	94.28
600	94.25
601	94.27
602	94.33
603	94.3
604	94.25
605	94.25
606	94.17
607	94.19
608	94.2
609	94.19
610	94.16
611	94.2
612	94.09
613	94.04
614	94.02
615	94
616	94.02
617	93.93
618	93.9
619	93.94
620	93.81
621	93.74
622	93.77
623	93.79
624	93.76
625	93.78
626	93.76
627	93.73
628	93.69
629	93.66
630	93.64
631	93.56
632	93.59
633	93.57
634	93.57
635	93.62
636	93.62
637	93.63
638	93.68
639	93.72
640	93.8
641	93.86
642	93.84
643	93.85
644	93.86
645	93.95
646	94.04
647	94.16
648	94.25
649	94.3
650	94.39
651	94.44
652	94.53
653	94.68
654	94.77
655	94.83
656	94.88
657	95.06
658	95.2
659	95.22
660	95.24
661	95.33
662	95.44
663	95.52
664	95.68
665	95.83
666	95.91
667	95.94
668	96.03
669	96.13
670	96.2
671	96.28
672	96.42
673	96.64
674	96.69
675	96.73
676	96.79
677	96.8
678	96.85
679	96.95
680	97
681	97.01
682	97.18
683	97.28
684	97.35
685	97.37
686	97.41
687	97.58
688	97.6
689	97.63
690	97.67
691	97.71
692	97.69
693	97.73
694	97.73
695	97.77
696	97.97
697	97.94
698	98
699	98.08
700	98.15
701	98.03
702	98.07
703	98.14
704	98.23
705	98.36
706	98.32
707	98.35
708	98.33
709	98.37
710	98.34
711	98.4
712	98.51
713	98.42
714	98.37
715	98.41
716	98.48
717	98.44
718	98.68
719	98.74
720	98.5
721	98.52
722	98.55
723	98.61
724	98.65
725	98.61
726	98.68
727	98.67
728	98.6
729	98.61
730	98.61
731	98.62
732	98.68
733	98.81
734	98.77
735	98.76
736	98.66
737	98.81
738	98.79
739	98.76
740	98.61
741	98.6
742	98.64
743	98.77
744	98.8
745	98.8
746	98.73
747	98.79
748	98.74
749	98.64
750	98.68
751	98.63
752	98.78
753	98.7
754	98.63
755	98.83
756	98.81
757	98.88
758	98.54
759	98.78
760	98.63
761	98.85
762	98.64
763	98.76
764	98.79
765	98.53
766	98.63
767	98.89
768	98.74
769	98.66
770	98.69
771	98.73
772	98.61
773	98.82
774	98.83
775	98.72
776	98.79
777	98.81
778	98.72
779	98.85
780	98.7
781	98.73
782	98.62
783	98.48
784	98.59
785	98.69
786	98.76
787	98.57
788	98.84
789	98.82
790	98.83
791	98.84
792	98.59
793	98.58
794	98.86
795	98.82
796	98.73
797	98.77
798	98.51
799	98.92
800	99.44
